Timestamp,What gender do you identify with?,How old are you?,Where do you live?,Which is the main use you give to your smartwatch?,How many days do you use any functionality of your smartwatch?,Which is the brand of your smartwatch?,What are the features you use on your smartwatch?,What features do you use to track with your smartwatch?,What sport activities do you track with your smartwatch?
1/26/2024 14:42:08,Female,26 - 35,Central and South America,Training tracker,3,Generic,"Multisport tracker, Time display, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor",Walking
1/26/2024 14:42:34,Male,36 - 45,Central and South America,Shortcut to cell functionalities,6,Samsung,"Alarm clock, Notifications, Phone calls, Time display, Music, Voice control","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
1/26/2024 14:44:15,Male,26 - 35,Central and South America,Health tracker,4,Samsung,"Alarm clock, GPS, Notifications, Sedentary reminder","Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor",Walking
1/26/2024 14:47:57,Female,36 - 45,Europe,Training tracker,7,Apple,"Multisport tracker, Alarm clock, Notifications, Time display, Music, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Cycling, Swimming"
1/26/2024 14:52:46,Female,36 - 45,Central and South America,Training tracker,4,Garmin,"GPS, Time display",Distance tracker,Running
1/26/2024 14:55:54,Male,26 - 35,Central and South America,Training tracker,1,Garmin,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Multisport tracker, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Mindfulness","Walking, Cycling, Swimming, Skiing"
1/26/2024 14:58:43,Female,36 - 45,Central and South America,Training tracker,4,Xiaomi,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
1/26/2024 15:00:29,Female,36 - 45,Central and South America,Shortcut to cell functionalities,7,I have Samsung and Colmi. Now I use Colmi ,"Multisport tracker, Notifications, Sedentary reminder, Water drink reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor","Walking, Yoga, Pilates"
1/26/2024 15:01:17,Male,26 - 35,Central and South America,Training tracker,5,Xiaomi,Multisport tracker,Distance tracker,Walking
1/26/2024 15:02:17,Male,26 - 35,Central and South America,Training tracker,7,Garmin,"Multisport tracker, Notifications, Time display","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor, Sleep monitor","Walking, Running, Swimming, Gym"
1/26/2024 15:02:43,Male,26 - 35,Central and South America,Shortcut to cell functionalities,7,Xiaomi,"Multisport tracker, Notifications, Text messaging, Time display","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor","Walking, Running, Skiing"
1/26/2024 15:04:22,Female,36 - 45,Central and South America,Training tracker,5,Generic,"Notifications, Phone calls, Time display","Multisport tracker, Calories tracker, Heart rate monitor",Walking
1/26/2024 15:08:22,Male,36 - 45,Central and South America,Training tracker,5,Amazfit,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Cycling, Gym"
1/26/2024 15:13:43,Female,26 - 35,Central and South America,Shortcut to cell functionalities,7,Apple,"Alarm clock, Notifications, Phone calls","Heart rate monitor, Sleep monitor, Mindfulness",Walking
1/26/2024 15:35:25,Female,36 - 45,Central and South America,Training tracker,5,Fitbit,"Multisport tracker, Notifications, Time display, Email","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor",Walking
1/26/2024 15:38:29,Male,26 - 35,Central and South America,Training tracker,4,Samsung,"Multisport tracker, Notifications, Text messaging","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Running, Cycling, hiking/trekking"
1/26/2024 15:50:30,Prefer not to say,26 - 35,Europe,notifications,7,Apple,"Multisport tracker, Alarm clock, Notifications, Time display, Sedentary reminder","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor",Walking
1/26/2024 16:09:46,Male,36 - 45,North America,Health tracker,7,Apple,"Alarm clock, Notifications, Time display, Contactless payments, Sedentary reminder, Voice control","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
1/26/2024 16:20:48,Male,36 - 45,Central and South America,Watch - Shortcut to cell functionalities ,5,Mibro Fit,"Notifications, Phone calls, Text messaging, Time display","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control",Gym metrcis
1/26/2024 16:26:45,Female,26 - 35,North America,Training tracker,7,Garmin,"Multisport tracker, Sedentary reminder","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor","Walking, Running, Climbing, yoga, meditation, hiking, dancing"
1/26/2024 16:32:13,Female,26 - 35,Europe,Training tracker,3,Xiaomi,"Multisport tracker, Alarm clock","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Running"
1/26/2024 17:01:34,Male,36 - 45,North America,Shortcut to cell functionalities,7,Apple,"Multisport tracker, Alarm clock, Camara, GPS, Notifications, Phone calls, Text messaging, Time display, Contactless payments, Email, Music, Sedentary reminder","Multisport tracker, Blood pressure monitor, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
1/26/2024 17:07:03,Male,26 - 35,Central and South America,Training tracker,5,Xiaomi,"Multisport tracker, GPS, Time display, Music","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Running, General excersies on gym"
1/26/2024 17:58:09,Male,36 - 45,North America,Shortcut to cell functionalities,7,Apple,"Notifications, Time display, Contactless payments, Voice control, Calendar","Distance tracker, Heart rate monitor","Walking, Cycling"
1/26/2024 17:59:41,Female,26 - 35,North America,Training tracker,7,Apple,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Running, Group fitness classes, weight lifting, yoga"
1/26/2024 19:42:59,Female,36 - 45,Europe,Shortcut to cell functionalities,7,Generic,"Multisport tracker, Alarm clock, Notifications, Music, Sedentary reminder","Multisport tracker, Calories tracker, Heart rate monitor, Sleep monitor, Water monitor, Mindfulness",Walking
1/26/2024 20:16:12,Female,26 - 35,Central and South America,Training tracker,5,Xiaomi,"Multisport tracker, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker","Walking, Cycling, strength training"
1/27/2024 10:18:04,Female,26 - 35,Europe,Apple pay,7,Apple,"GPS, Notifications, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control",Walking
1/28/2024 1:00:59,Male,36 - 45,North America,"It was mostly for training, but I don't use it anymore",0,Apple,"Time display, Contactless payments, Music","Distance tracker, Sleep monitor","Walking, Running"
1/29/2024 11:18:16,Male,36 - 45,North America,Shortcut to cell functionalities,7,Google,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
1/29/2024 13:10:25,Female,26 - 35,North America,Health tracker,7,Fitbit,"Alarm clock, Time display, Sedentary reminder, Timer","Distance tracker, Heart rate monitor, Sleep monitor",Walking
1/30/2024 10:27:09,Male,26 - 35,Asia,Shortcut to cell functionalities,7,Xiaomi,"Notifications, Time display",Distance tracker,Walking
1/30/2024 11:45:41,Female,36 - 45,Central and South America,Training tracker,4,Garmin,"Multisport tracker, GPS, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Elevation tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control","Walking, Running, Cycling, Pilates"
1/31/2024 0:18:41,Male,36 - 45,Europe,Training tracker,5,Apple,"Notifications, Time display",Distance tracker,Walking
1/31/2024 0:49:05,Female,26 - 35,North America,Shortcut to cell functionalities,1,Google,"Multisport tracker, Alarm clock, Notifications, Time display, Sedentary reminder","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor","Walking, Running"
